[CEL]
Version=3

[HEADER]
Cols=1164
Rows=1164
TotalX=1164
TotalY=1164
OffsetX=0
OffsetY=0
GridCornerUL=277 221
GridCornerUR=8467 275
GridCornerLR=8406 8468
GridCornerLL=217 8414
Axis-invertX=0
AxisInvertY=0
swapXY=0
DatHeader=[11..65534]  25848_Y1_Notreatment_SPR700_HGU133P:CLS=8676 RWS=8676 XIN=1  YIN=1  VE=0         0   08/26/09 14:00:26 50207420  M10      HG-U133_Plus_2.1sq          570  25443.642578  3.500000  1.5625  6
Algorithm=Percentile
AlgorithmParameters=Percentile:75;CellMargin:2;OutlierHigh:1.500000;OutlierLow:1.004000;FeatureExtraction:TRUE;IgnoreShiftRowOutliers:FALSE;FixedCellSize:TRUE;UseSubgrids:FALSE;RandomizePixels:FALSE;ErrorBasis:StdvMean;PercentileSpread:15.000000;StdMult:1.000000;ExtendPoolWidth:2;ExtendPoolHeight:2;OutlierRatioLowPercentile:55;OutlierRatioHighPercentile:75;HalfCellRowsDivisor:5;HalfCellRowsRemainder:4;CellIntensityCalculationType:Percentile;featureRows:1164;featureColumns:1164;featureWidth:11.000000;featureHeight:11.000000;FullFeatureWidth:7;FullFeatureHeight:7

[INTENSITY]
NumberCells=1354896
CellHeader=X	Y	MEAN	STDV	NPIXELS
  0	  0	345.0	64.5	 25
  1	  0	18779.0	1864.7	 25
  2	  0	360.0	38.7	 25
  3	  0	19080.0	1932.0	 25
  4	  0	120.0	14.5	 25
  5	  0	261.0	57.4	 25
  6	  0	18807.0	2113.0	 25
  7	  0	287.0	55.0	 25
  8	  0	18766.0	2284.1	 25
  9	  0	288.0	42.4	 25
 10	  0	19276.0	2621.0	 25
 11	  0	210.0	42.6	 25
 12	  0	18570.0	2400.6	 25
 13	  0	166.0	44.5	 25
 14	  0	18871.0	3153.6	 25
 15	  0	200.0	51.1	 25
 16	  0	18967.0	2407.9	 25
 17	  0	127.0	32.0	 25
 18	  0	18838.0	2007.2	 25
 19	  0	205.0	58.5	 25
 20	  0	19177.0	1773.4	 25
 21	  0	312.0	85.8	 25
 22	  0	19240.0	1974.8	 25
 23	  0	323.0	61.3	 25
 24	  0	19139.0	1937.9	 25
 25	  0	312.0	35.0	 25
 26	  0	19486.0	2109.4	 25
 27	  0	335.0	50.4	 25
 28	  0	19201.0	2246.4	 25
 29	  0	295.0	39.4	 25
 30	  0	18863.0	2238.5	 25
 31	  0	294.0	67.0	 25
 32	  0	19410.0	2544.4	 25
 33	  0	299.0	48.4	 25
 34	  0	18889.0	2432.3	 25
 35	  0	272.0	66.1	 25
 36	  0	19115.0	1991.1	 25
 37	  0	298.0	51.7	 25
 38	  0	19055.0	2349.6	 25
 39	  0	272.0	65.0	 25
 40	  0	18994.0	2265.2	 25
 41	  0	264.0	94.9	 25
 42	  0	19077.0	2407.9	 25
 43	  0	302.0	59.0	 25
 44	  0	18939.0	2241.2	 25
 45	  0	293.0	70.2	 25
 46	  0	19172.0	2018.5	 25
 47	  0	324.0	67.4	 25
 48	  0	18890.0	2065.7	 25
 49	  0	230.0	55.3	 25
 50	  0	18638.0	2233.6	 25
 51	  0	290.0	58.6	 25
 52	  0	18711.0	2296.7	 25
 53	  0	318.0	63.5	 25
 54	  0	18965.0	2344.0	 25
 55	  0	252.0	38.9	 25
 56	  0	19014.0	1885.3	 25
 57	  0	264.0	44.2	 25
 58	  0	19218.0	1786.7	 25
 59	  0	298.0	40.9	 25
 60	  0	18683.0	1551.5	 25
 61	  0	301.0	69.0	 25
 62	  0	18927.0	1494.1	 25
 63	  0	325.0	66.4	 25
 64	  0	19307.0	1492.0	 25
 65	  0	278.0	54.1	 25
 66	  0	18752.0	1564.0	 25
 67	  0	239.0	56.4	 25
 68	  0	18841.0	1675.0	 25
 69	  0	328.0	53.5	 25
 70	  0	18597.0	1851.9	 25
 71	  0	293.0	40.6	 25
 72	  0	18752.0	2240.1	 25
 73	  0	266.0	84.3	 25
 74	  0	18834.0	2927.6	 25
 75	  0	279.0	57.9	 25
 76	  0	18793.0	2999.2	 25
 77	  0	270.0	79.8	 25
 78	  0	18766.0	2870.8	 25
 79	  0	283.0	43.2	 25
 80	  0	18395.0	2332.4	 25
 81	  0	303.0	64.3	 25
 82	  0	18400.0	2064.5	 25
 83	  0	260.0	53.5	 25
